ISSUE_DATE,ID,PURPOSE,VERIFICATION_STATUS,GRADE,HOME_OWNERSHIP,ADDRESS_STATE,LOAN_STATUS,EMP_LENGTH,EMP_TITLE,LAST_CREDIT_PULL_DATE,LAST_PAYMENT_DATE,NEXT_PAYMENT_DATE,MEMBER_ID,SUB_GRADE,TERM,ANNUAL_INCOME,DTI,INSTALLMENT,INT_RATE,LOAN_AMOUNT,TOTAL_ACC,TOTAL_PAYMENT
10-02-2021,484540,Debt consolidation,Not Verified,B,MORTGAGE,OR,Fully Paid,2 years,"MOG, Inc",12-06-2021,12-06-2021,12-07-2021,531597,B2, 36 months,75000,0.0554,466.35,0.1025,14400,30,16614
10-02-2021,481514,Debt consolidation,Not Verified,B,MORTGAGE,FL,Fully Paid,2 years,zachry industral inc,16-05-2021,13-02-2021,13-03-2021,612412,B2, 36 months,86500,0.1212,323.85,0.1025,10000,13,11659
10-02-2021,465730,Debt consolidation,Not Verified,B,MORTGAGE,CO,Fully Paid,2 years,JCG,15-08-2021,11-05-2021,11-06-2021,584558,B5, 36 months,130000,0.2019,329.12,0.1136,10000,34,11116
10-02-2021,484771,Debt consolidation,Not Verified,B,MORTGAGE,GA,Fully Paid,3 years,amec,16-05-2021,11-08-2021,11-09-2021,617329,B1, 36 months,100000,0.0412,483.16,0.0988,15000,25,16680
10-02-2021,486785,Debt consolidation,Not Verified,B,MORTGAGE,CT,Fully Paid,6 years,town of new canaan,16-03-2021,11-06-2021,11-07-2021,620420,B1, 36 months,91000,0.1593,483.16,0.0988,15000,30,16530
10-02-2021,480860,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,6 years,PrimeLending,16-01-2021,11-09-2021,11-10-2021,611388,B4, 36 months,67000,0.199,818.38,0.1099,25000,25,27896
10-02-2021,487604,Debt consolidation,Not Verified,B,MORTGAGE,NJ,Fully Paid,7 years,JMK Builders Inc.,13-03-2021,13-03-2021,13-04-2021,621642,B5, 36 months,52000,0.0789,256.71,0.1136,7800,11,9242
10-02-2021,482269,Debt consolidation,Not Verified,B,MORTGAGE,PA,Fully Paid,8 years,URS Corporation,13-02-2021,13-02-2021,13-03-2021,613478,B5, 36 months,99000,0.1979,789.87,0.1136,24000,38,28437
10-02-2021,486329,Debt consolidation,Not Verified,B,MORTGAGE,OR,Fully Paid,9 years,State of Oregon: Dept. Human Srvcs,13-03-2021,13-03-2021,13-04-2021,619772,B4, 36 months,68340,0.1213,818.38,0.1099,25000,26,29462
10-02-2021,487209,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,10+ years,Texarkana Police Dept,11-05-2021,11-05-2021,11-06-2021,621028,B1, 36 months,60000,0.098,322.11,0.0988,10000,11,10967
10-02-2021,480973,Debt consolidation,Not Verified,B,MORTGAGE,NY,Fully Paid,10+ years,Moog,16-04-2021,12-01-2021,12-02-2021,611598,B2, 36 months,67000,0.1517,323.85,0.1025,10000,23,11417
10-02-2021,488161,Debt consolidation,Not Verified,B,MORTGAGE,NY,Fully Paid,2 years,Wellpoint,15-04-2021,12-02-2021,12-03-2021,622432,B3, 36 months,67145,0.0613,325.6,0.1062,10000,9,11471
10-02-2021,456465,Debt consolidation,Not Verified,B,MORTGAGE,NJ,Fully Paid,2 years,Foley Inc.,13-02-2021,13-02-2021,13-03-2021,566890,B3, 36 months,45000,0.2355,423.28,0.1062,13000,20,15240
10-02-2021,480972,Debt consolidation,Not Verified,B,MORTGAGE,GA,Fully Paid,3 years,TLLJ INC,13-02-2021,13-02-2021,13-03-2021,611597,B4, 36 months,38000,0.2018,523.77,0.1099,16000,25,18856
10-02-2021,483508,Debt consolidation,Not Verified,B,MORTGAGE,MI,Fully Paid,5 years,M S Title,12-09-2021,12-08-2021,12-09-2021,615293,B1, 36 months,96000,0.0926,386.53,0.0988,12000,43,13850
10-02-2021,486817,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,5 years,Boeing,13-03-2021,13-03-2021,13-04-2021,620468,B1, 36 months,66200,0.1767,442.9,0.0988,13750,24,15945
10-02-2021,482672,Debt consolidation,Not Verified,B,MORTGAGE,VA,Fully Paid,6 years,Telos Corporation,13-06-2021,13-03-2021,13-04-2021,614019,B2, 36 months,75873,0.1336,38.87,0.1025,1200,38,1399
10-02-2021,488826,Debt consolidation,Not Verified,B,MORTGAGE,VA,Fully Paid,6 years,"Donnell R Fullerton, PC",16-04-2021,13-03-2021,13-04-2021,623534,B5, 36 months,85000,0.2218,181.02,0.1136,5500,38,6517
10-02-2021,488025,Debt consolidation,Not Verified,B,MORTGAGE,IL,Fully Paid,7 years,Peabody Management services,12-11-2021,12-11-2021,12-12-2021,622254,B5, 36 months,96339,0.2216,493.67,0.1136,15000,37,17726
10-02-2021,480862,Debt consolidation,Not Verified,B,MORTGAGE,IL,Fully Paid,1 year,Uncommon Ground,16-05-2021,13-02-2021,13-03-2021,611390,B5, 36 months,30000,0.2168,403.17,0.1136,12250,27,14514
10-02-2021,483880,Debt consolidation,Not Verified,B,MORTGAGE,NY,Fully Paid,4 years,CITY OF RYE DEPT OF PUBLIC WORKS,14-11-2021,11-08-2021,11-09-2021,615859,B4, 36 months,59000,0.0063,114.58,0.1099,3500,38,3937
10-02-2021,488128,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,10+ years,Healix,14-02-2021,13-03-2021,13-04-2021,622394,B2, 36 months,70000,0.1642,453.39,0.1025,14000,21,16322
10-02-2021,480461,Debt consolidation,Not Verified,B,MORTGAGE,WV,Fully Paid,10+ years,Marshall University,13-02-2021,13-02-2021,13-03-2021,610809,B2, 36 months,105000,0.1722,421.01,0.1025,13000,23,15157
10-02-2021,488028,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,2 years,"R.W. Harden & Associates, Inc.",14-10-2021,12-05-2021,12-06-2021,622251,B2, 36 months,42000,0.2163,168.41,0.1025,5200,16,5971
10-02-2021,482435,Debt consolidation,Not Verified,B,MORTGAGE,AL,Fully Paid,2 years,Adams Produce Companies,16-03-2021,12-06-2021,12-07-2021,613702,B4, 36 months,38000,0.1124,491.03,0.1099,15000,17,17520
10-02-2021,481667,Debt consolidation,Not Verified,B,MORTGAGE,NY,Fully Paid,2 years,Mount Sinai Medical Center,15-09-2021,11-02-2021,11-03-2021,612610,B5, 36 months,65000,0.1822,144.81,0.1136,4400,24,4803
10-02-2021,482398,Debt consolidation,Not Verified,B,MORTGAGE,GA,Fully Paid,5 years,Cherokee County Gov,16-05-2021,13-02-2021,13-03-2021,613639,B2, 36 months,109000,0.1534,485.78,0.1025,15000,29,17489
10-02-2021,483229,Debt consolidation,Not Verified,B,MORTGAGE,GA,Fully Paid,8 years,RBM of Atlanta,16-02-2021,11-10-2021,11-11-2021,614889,B2, 36 months,62000,0.0865,161.93,0.1025,5000,10,5650
10-02-2021,480512,Debt consolidation,Not Verified,B,MORTGAGE,FL,Fully Paid,3 years,CHEP,16-05-2021,12-09-2021,12-10-2021,610871,B5, 36 months,63344,0.1504,263.29,0.1136,8000,12,9442
10-02-2021,480608,Debt consolidation,Not Verified,B,MORTGAGE,MO,Fully Paid,4 years,Smurfit-Stone,16-05-2021,12-07-2021,12-08-2021,597795,B3, 36 months,74280,0.2354,208.39,0.1062,6400,20,7387
10-02-2021,480652,Debt consolidation,Not Verified,B,MORTGAGE,OH,Fully Paid,5 years,Seville Police Dept.,11-10-2021,11-10-2021,11-11-2021,611096,B3, 36 months,50055,0.1618,488.4,0.1062,15000,12,17024
10-02-2021,481451,Debt consolidation,Not Verified,C,MORTGAGE,AL,Fully Paid,10+ years,The Boeing Company,16-02-2021,11-08-2021,11-09-2021,612335,C1, 36 months,86500,0.1527,805.59,0.1273,24000,45,27491
10-02-2021,485679,Debt consolidation,Not Verified,C,MORTGAGE,MI,Fully Paid,10+ years,Roseville Community Schools,14-12-2021,13-03-2021,13-04-2021,618821,C1, 36 months,79000,0.2467,537.06,0.1273,16000,25,19336
10-02-2021,486362,Debt consolidation,Not Verified,C,MORTGAGE,AL,Fully Paid,2 years,Venturi Aerospace,12-09-2021,12-10-2021,12-11-2021,619820,C1, 36 months,73008,0.1885,469.93,0.1273,14000,29,16863
10-02-2021,482375,Debt consolidation,Not Verified,C,MORTGAGE,WY,Fully Paid,2 years,Powder River Energy,16-05-2021,13-02-2021,13-03-2021,613612,C3, 36 months,44449.6,0.1768,720.89,0.1348,21250,41,25952
10-02-2021,485096,Debt consolidation,Not Verified,C,MORTGAGE,WA,Fully Paid,4 years,Johnson and Johnson,11-05-2021,11-06-2021,11-07-2021,617900,C2, 36 months,104000,0.1188,371.2,0.1311,11000,44,12167
10-02-2021,485314,Debt consolidation,Not Verified,C,MORTGAGE,FL,Fully Paid,9 years,Marriott Vacation Club International,13-02-2021,13-03-2021,13-04-2021,618243,C1, 36 months,95000,0.2168,503.5,0.1273,15000,29,18127
10-02-2021,486027,Debt consolidation,Not Verified,C,MORTGAGE,FL,Fully Paid,9 years,Ramat Shalom,13-03-2021,13-03-2021,13-04-2021,619317,C3, 36 months,150000,0.1249,339.25,0.1348,10000,57,12213
10-02-2021,486971,Debt consolidation,Not Verified,C,MORTGAGE,CO,Fully Paid,1 year,Prestige Wealth Management Group,12-03-2021,12-03-2021,12-04-2021,620702,C1, 36 months,74000,0.0441,537.06,0.1273,16000,18,18911
10-02-2021,485185,Debt consolidation,Not Verified,C,MORTGAGE,AR,Fully Paid,4 years,"Walmart Stores, Inc - Sam's Club",16-05-2021,12-07-2021,12-08-2021,461527,C1, 36 months,96000,0.0251,402.8,0.1273,12000,17,14352
10-02-2021,467043,Debt consolidation,Not Verified,C,MORTGAGE,GA,Fully Paid,4 years,City Publication (aka Pride of the City),12-05-2021,12-06-2021,12-07-2021,587107,C3, 36 months,45000,0.0917,474.94,0.1348,14000,15,16799
10-02-2021,482198,Debt consolidation,Not Verified,C,MORTGAGE,TX,Fully Paid,5 years,Imperial Woodworks,16-03-2021,13-02-2021,13-03-2021,613366,C1, 36 months,420000,0.0201,268.53,0.1273,8000,22,9668
10-02-2021,486652,Debt consolidation,Not Verified,C,MORTGAGE,CA,Fully Paid,7 years,MMD Components,11-07-2021,11-07-2021,11-08-2021,620231,C1, 36 months,55680,0.1478,134.27,0.1273,4000,49,4556
10-02-2021,481494,Debt consolidation,Not Verified,C,MORTGAGE,NY,Fully Paid,10+ years,New York State Unified Court System,14-05-2021,11-09-2021,11-10-2021,612391,C1, 36 months,121000,0.2163,839.16,0.1273,25000,46,28934
10-02-2021,481921,Debt consolidation,Not Verified,C,MORTGAGE,CA,Fully Paid,10+ years,Design Logic Solutions,16-05-2021,13-02-2021,13-03-2021,612966,C4, 36 months,181000,0.0918,682.08,0.1385,20000,37,24556
10-02-2021,487706,Debt consolidation,Not Verified,C,MORTGAGE,TX,Fully Paid,10+ years,IBM Austin,16-05-2021,11-08-2021,11-09-2021,621800,C4, 36 months,115000,0.1401,545.67,0.1385,16000,31,18538
10-02-2021,485830,Debt consolidation,Not Verified,C,MORTGAGE,TX,Fully Paid,10+ years,NDeX,13-10-2021,11-04-2021,11-05-2021,619024,C1, 36 months,78000,0.1615,335.67,0.1273,10000,23,11182
10-02-2021,486882,Debt consolidation,Not Verified,C,MORTGAGE,WA,Fully Paid,10+ years,WA State Attorney General's Office,16-05-2021,12-02-2021,12-03-2021,620568,C2, 36 months,41508,0.1899,54,0.1311,1600,19,1893
10-02-2021,480107,Debt consolidation,Not Verified,C,MORTGAGE,RI,Fully Paid,2 years,Fidelity Investments,12-03-2021,10-11-2021,10-12-2021,610171,C2, 36 months,90000,0.116,674.9,0.1311,20000,46,21782
10-02-2021,376257,Debt consolidation,Not Verified,C,MORTGAGE,CT,Fully Paid,3 years,Chemtura,15-06-2021,12-06-2021,12-07-2021,399200,C3, 36 months,114400,0.1467,678.49,0.1348,20000,34,24161
10-02-2021,482076,Debt consolidation,Not Verified,C,MORTGAGE,NJ,Fully Paid,5 years,Con Edison,16-04-2021,13-02-2021,13-03-2021,613163,C1, 36 months,90000,0.2275,402.8,0.1273,12000,18,14502
10-02-2021,483989,Debt consolidation,Not Verified,C,MORTGAGE,TX,Fully Paid,< 1 year,kirkwood manor,13-02-2021,13-02-2021,13-03-2021,616029,C1, 36 months,40000,0.0936,134.27,0.1273,4000,19,4834
10-02-2021,481485,Debt consolidation,Not Verified,D,MORTGAGE,CA,Fully Paid,4 years,NISCAYAH,16-05-2021,13-02-2021,13-03-2021,612381,D2, 36 months,80000,0.1324,173.24,0.1496,5000,9,6237
10-02-2021,485821,Debt consolidation,Not Verified,D,MORTGAGE,LA,Fully Paid,8 years,excel construction,13-03-2021,13-03-2021,13-04-2021,619007,D3, 36 months,95000,0.1592,557.26,0.1533,16000,20,20064
10-02-2021,484764,Debt consolidation,Not Verified,D,MORTGAGE,AZ,Fully Paid,< 1 year,Prescott Cardiology,12-11-2021,12-10-2021,12-11-2021,398393,D3, 36 months,300000,0.1616,870.71,0.1533,25000,23,31237
10-02-2021,482368,Debt consolidation,Not Verified,D,MORTGAGE,FL,Fully Paid,10+ years,Miami-Dade County Public Schools,13-02-2021,13-03-2021,13-04-2021,613602,D2, 36 months,41000,0.1642,346.47,0.1496,10000,34,12473
10-02-2021,488594,Debt consolidation,Not Verified,D,MORTGAGE,NJ,Fully Paid,10+ years,Seahorse Discount Inc,13-03-2021,13-03-2021,13-04-2021,623182,D4, 36 months,54442,0.1184,343.11,0.157,9800,14,12352
10-02-2021,484143,Debt consolidation,Not Verified,D,MORTGAGE,TX,Fully Paid,6 years,American Arbitration Association,16-05-2021,12-07-2021,12-08-2021,616325,D2, 36 months,36500,0.2384,103.94,0.1496,3000,10,3707
10-02-2021,481901,Debt consolidation,Not Verified,D,MORTGAGE,CO,Fully Paid,10+ years,Colorado Springs Police Dept.,15-03-2021,12-05-2021,12-06-2021,612939,D3, 36 months,57000,0.2276,452.77,0.1533,13000,31,16051
10-02-2021,472894,Debt consolidation,Not Verified,D,MORTGAGE,NJ,Fully Paid,8 years,Walsworth Publishing Company,15-03-2021,13-02-2021,13-03-2021,597307,D5, 36 months,100000,0.099,612.38,0.1607,17400,56,22048
10-02-2021,480443,Debt consolidation,Not Verified,D,MORTGAGE,CA,Fully Paid,9 years,Placer Insurance Agency,12-08-2021,12-08-2021,12-09-2021,610780,D3, 36 months,130000,0.1635,870.71,0.1533,25000,37,31120
10-02-2021,482706,Debt consolidation,Not Verified,D,MORTGAGE,CA,Fully Paid,10+ years,SVB Financial Group,13-02-2021,13-02-2021,13-03-2021,614085,D3, 36 months,98000,0.19,844.59,0.1533,24250,15,30407
10-02-2021,482071,Debt consolidation,Not Verified,D,MORTGAGE,MI,Fully Paid,4 years,Leisure Living,16-05-2021,13-03-2021,13-04-2021,613155,D2, 36 months,23000,0.1706,242.53,0.1496,7000,16,8731
10-02-2021,485099,Debt consolidation,Not Verified,D,MORTGAGE,MN,Fully Paid,4 years,General Dynamics,16-05-2021,11-06-2021,11-07-2021,617894,D3, 36 months,64300,0.2355,487.6,0.1533,14000,28,16245
10-02-2021,487133,Debt consolidation,Not Verified,E,MORTGAGE,CA,Fully Paid,2 years,Crystal Creek Aggregate  Inc.,12-01-2021,12-01-2021,12-02-2021,620919,E1, 36 months,39099,0.031,424.53,0.1645,12000,8,14714
10-02-2021,487248,Debt consolidation,Not Verified,E,MORTGAGE,CA,Fully Paid,3 years,DaVita Dialysis,16-01-2021,13-03-2021,13-04-2021,621084,E1, 36 months,78000,0.1474,566.04,0.1645,16000,18,20386
10-02-2021,484122,Debt consolidation,Not Verified,D,MORTGAGE,TX,Fully Paid,5 years,Energy Transfer Partners,16-01-2021,13-03-2021,13-04-2021,616275,D1, 36 months,140000,0.1107,449.77,0.1459,13050,18,16192
10-02-2021,486578,Debt consolidation,Not Verified,A,OWN,NM,Fully Paid,2 years,The Mind Research Network,13-03-2021,13-03-2021,13-04-2021,620131,A5, 36 months,47000,0.0498,437.93,0.0788,14000,11,15766
10-02-2021,487409,Debt consolidation,Not Verified,A,OWN,MA,Fully Paid,5 years,united bank,13-03-2021,13-03-2021,13-04-2021,621331,A1, 36 months,15600,0.2146,100.99,0.0639,3300,28,3635
10-02-2021,485846,Debt consolidation,Not Verified,A,OWN,PA,Fully Paid,7 years,Union Building & Loan Savings Bank,16-05-2021,13-03-2021,13-04-2021,619048,A2, 36 months,40000,0.1983,129.24,0.0676,4200,36,4652
10-02-2021,489025,Debt consolidation,Not Verified,A,OWN,FL,Fully Paid,5 years,USAF,16-05-2021,10-07-2021,10-08-2021,623831,A4, 36 months,43000,0.0187,311.1,0.0751,10000,32,10241
10-02-2021,481277,Debt consolidation,Not Verified,A,OWN,NY,Fully Paid,4 years,Fort Ann Central School,13-02-2021,13-02-2021,13-03-2021,612076,A5, 36 months,40000,0.2433,250.25,0.0788,8000,21,9009
10-02-2021,481396,Debt consolidation,Not Verified,B,OWN,CA,Fully Paid,6 years,Gateway Chiropractic,11-05-2021,13-03-2021,13-04-2021,612244,B1, 36 months,70000,0.1682,547.58,0.0988,17000,16,19714
10-02-2021,472601,Debt consolidation,Not Verified,B,OWN,OK,Fully Paid,2 years,TW Telecom,16-04-2021,12-05-2021,12-06-2021,596810,B4, 36 months,75000,0.1734,818.38,0.1099,25000,28,29135
10-02-2021,485710,Debt consolidation,Not Verified,B,OWN,MI,Fully Paid,7 years,The Home Depot,16-05-2021,13-03-2021,13-04-2021,550408,B2, 36 months,35000,0.1159,323.85,0.1025,10000,16,11659
10-02-2021,485240,Debt consolidation,Not Verified,B,OWN,AZ,Fully Paid,8 years,,12-02-2021,12-03-2021,12-04-2021,618132,B1, 36 months,250000,0.0495,483.16,0.0988,15000,23,16541
10-02-2021,473722,Debt consolidation,Not Verified,B,OWN,CT,Fully Paid,4 years,Sanofi Aventis,15-10-2021,10-10-2021,10-11-2021,598917,B2, 36 months,93000,0.0271,323.85,0.1025,10000,47,10555
10-02-2021,427755,Debt consolidation,Not Verified,C,OWN,FL,Fully Paid,2 years,National City Bank,12-04-2021,12-04-2021,12-05-2021,500726,C3, 36 months,35000,0.2225,447.8,0.1348,13200,15,15853
10-02-2021,482197,Debt consolidation,Not Verified,C,OWN,MD,Fully Paid,7 years,Spectrumk12,13-02-2021,13-02-2021,13-03-2021,613364,C2, 36 months,87000,0.1124,506.18,0.1311,15000,53,18223
10-02-2021,479412,Debt consolidation,Not Verified,D,OWN,CA,Fully Paid,2 years,Maxim Integrated Products,11-12-2021,11-12-2021,11-01-2022,609147,D3, 36 months,60000,0.112,644.33,0.1533,18500,21,22387
10-02-2021,485101,Debt consolidation,Not Verified,D,OWN,GA,Fully Paid,5 years,Daniel Richards,13-02-2021,13-03-2021,13-04-2021,617906,D3, 36 months,75000,0.0064,435.36,0.1533,12500,10,15675
10-02-2021,480833,Debt consolidation,Not Verified,A,RENT,CA,Fully Paid,1 year,Silicon Valley Bank,15-10-2021,11-05-2021,11-06-2021,611328,A5, 36 months,45999.96,0.1074,228.35,0.0788,7300,15,7886
10-02-2021,481883,Debt consolidation,Not Verified,A,RENT,NY,Fully Paid,10+ years,National Book Foundation,14-05-2021,11-07-2021,11-08-2021,612913,A3, 36 months,69000,0.002,77.35,0.0714,2500,31,2701
10-02-2021,482400,Debt consolidation,Not Verified,A,RENT,CA,Fully Paid,10+ years,Judicate West,15-01-2021,11-06-2021,11-07-2021,613647,A5, 36 months,54000,0.2127,168.92,0.0788,5400,38,5854
10-02-2021,488740,Debt consolidation,Not Verified,A,RENT,CA,Fully Paid,2 years,GRANT TANI BARASH & ALTMAN,14-04-2021,12-08-2021,12-09-2021,623416,A4, 36 months,56000,0.1929,248.88,0.0751,8000,27,8836
10-02-2021,486955,Debt consolidation,Not Verified,A,RENT,FL,Fully Paid,2 years,Cross Country Staffing,11-07-2021,11-07-2021,11-08-2021,620684,A5, 36 months,47500,0.117,265.89,0.0788,8500,22,9222
10-02-2021,484582,Debt consolidation,Not Verified,A,RENT,CA,Fully Paid,3 years,CEMEX INC.,12-07-2021,12-07-2021,12-08-2021,617034,A5, 36 months,38304,0.1529,375.37,0.0788,12000,22,13445
10-02-2021,480967,Debt consolidation,Not Verified,A,RENT,PA,Fully Paid,5 years,Jacobs Music,16-05-2021,11-09-2021,11-10-2021,611590,A3, 36 months,59000,0.1285,92.82,0.0714,3000,11,3260
10-02-2021,481079,Debt consolidation,Not Verified,A,RENT,NY,Fully Paid,1 year,Omnicom Group,16-03-2021,13-02-2021,13-03-2021,611751,A4, 36 months,45000,0.0664,186.66,0.0751,6000,16,6720
10-02-2021,481274,Debt consolidation,Not Verified,A,RENT,CO,Fully Paid,2 years,Developmental Disability Consultants,13-02-2021,13-02-2021,13-03-2021,612071,A5, 36 months,48000,0.1022,281.53,0.0788,9000,16,10136
10-02-2021,484016,Debt consolidation,Not Verified,A,RENT,NY,Fully Paid,4 years,Follett,16-04-2021,13-02-2021,13-03-2021,535392,A5, 36 months,45000,0.0792,375.37,0.0788,12000,18,13514
10-02-2021,480762,Debt consolidation,Not Verified,A,RENT,OR,Fully Paid,4 years,JAK PIZZA CO.  INC.,14-03-2021,13-02-2021,13-03-2021,611219,A5, 36 months,19000,0.2432,109.49,0.0788,3500,12,3942
10-02-2021,488770,Debt consolidation,Not Verified,A,RENT,CA,Fully Paid,5 years,UNITED STATE POSTAL SERVICES,14-10-2021,11-02-2021,11-03-2021,623454,A5, 36 months,50000,0.131,375.37,0.0788,12000,17,12699
10-02-2021,458148,Debt consolidation,Not Verified,A,RENT,CT,Fully Paid,5 years,Coyote Point Systems,13-02-2021,13-02-2021,13-03-2021,570003,A4, 36 months,55000,0.2228,186.66,0.0751,6000,25,6720
10-02-2021,484007,Debt consolidation,Not Verified,A,RENT,FL,Fully Paid,< 1 year,LEON MEDICAL CENTERS,15-12-2021,13-02-2021,13-03-2021,616051,A4, 36 months,31404,0.1158,155.55,0.0751,5000,32,5600
10-02-2021,485677,Debt consolidation,Not Verified,B,RENT,MD,Fully Paid,1 year,Meso-scale Discovery,16-02-2021,13-03-2021,13-04-2021,618819,B4, 36 months,60000,0.1752,555.68,0.1099,20000,25,20005
10-02-2021,483825,Debt consolidation,Not Verified,B,RENT,FL,Fully Paid,10+ years,Morean Arts Center,15-09-2021,15-09-2021,15-10-2021,615777,B5, 36 months,40000,0.1119,329.12,0.1136,10000,16,13255
10-02-2021,488380,Debt consolidation,Not Verified,B,RENT,VA,Fully Paid,2 years,Deloitte Consulting,11-01-2021,11-01-2021,11-02-2021,622797,B1, 36 months,65000,0.0879,322.11,0.0988,10000,6,10582
10-02-2021,486476,Debt consolidation,Not Verified,B,RENT,NY,Fully Paid,2 years,Sensis Corporation,10-07-2021,10-08-2021,10-09-2021,619983,B1, 36 months,103241,0.1444,322.11,0.0988,10000,30,10392
10-02-2021,485083,Debt consolidation,Not Verified,B,RENT,OH,Fully Paid,2 years,NKG Productions,13-02-2021,13-03-2021,13-04-2021,617880,B1, 36 months,36000,0.244,467.06,0.0988,14500,17,16815
10-02-2021,480675,Debt consolidation,Not Verified,B,RENT,LA,Fully Paid,2 years,Business Technology Group  LLC,16-05-2021,12-06-2021,12-07-2021,611124,B2, 36 months,39000,0.2086,323.85,0.1025,10000,12,11562
10-02-2021,487274,Debt consolidation,Not Verified,B,RENT,MD,Fully Paid,2 years,US military army,11-09-2021,11-09-2021,11-10-2021,621123,B2, 36 months,50400,0.1483,242.89,0.1025,7500,10,8408
10-02-2021,420124,Debt consolidation,Not Verified,B,RENT,MT,Fully Paid,2 years,"RightNow Technologies, Inc.",16-05-2021,12-04-2021,12-05-2021,493209,B3, 36 months,41600,0.1592,364.67,0.1062,11200,7,12957
10-02-2021,480665,Debt consolidation,Not Verified,B,RENT,TX,Fully Paid,2 years,Gravell  and  Company,16-05-2021,12-08-2021,12-09-2021,611111,B3, 36 months,90000,0.2416,390.72,0.1062,12000,28,13995
10-02-2021,482155,Debt consolidation,Not Verified,B,RENT,IL,Fully Paid,2 years,ATI Physical Therapy,13-02-2021,13-02-2021,13-03-2021,613293,B4, 36 months,48880,0.1979,180.05,0.1099,5500,25,6482
10-02-2021,482205,Debt consolidation,Not Verified,B,RENT,CT,Fully Paid,2 years,Newtown Savings Bank,13-02-2021,13-02-2021,13-03-2021,613384,B4, 36 months,70000,0.0669,327.36,0.1099,10000,17,11785
10-02-2021,482132,Debt consolidation,Not Verified,B,RENT,MO,Fully Paid,2 years,Cox Health,12-01-2021,11-07-2021,11-08-2021,613253,B4, 36 months,34819,0.2013,549.95,0.1099,16800,16,18899
10-02-2021,476400,Debt consolidation,Not Verified,B,RENT,MO,Fully Paid,3 years,"Marit, Inc.",12-04-2021,12-04-2021,12-05-2021,603464,B2, 36 months,37000,0.1761,421.01,0.1025,13000,34,14965
10-02-2021,481054,Debt consolidation,Not Verified,B,RENT,NJ,Fully Paid,3 years,Unilever,13-02-2021,13-02-2021,13-03-2021,611715,B3, 36 months,76400,0.1541,452.58,0.1062,13900,15,16294
10-02-2021,486838,Debt consolidation,Not Verified,B,RENT,TX,Fully Paid,3 years,CDM,11-07-2021,11-07-2021,11-08-2021,620496,B5, 36 months,62000,0.1483,246.84,0.1136,7500,11,8418
10-02-2021,484611,Debt consolidation,Not Verified,B,RENT,FL,Fully Paid,3 years,SUMAN ENTERTAINMENT GROUP,14-10-2021,13-03-2021,13-04-2021,617078,B5, 36 months,33600,0.1682,394.94,0.1136,12000,13,14218
10-02-2021,472349,Debt consolidation,Not Verified,B,RENT,NJ,Fully Paid,4 years,PlusOne Holdings,16-05-2021,13-02-2021,13-03-2021,596394,B2, 36 months,45000,0.0411,647.7,0.1025,20000,8,23318
10-02-2021,486867,Debt consolidation,Not Verified,B,RENT,MO,Fully Paid,4 years,Ferrell Gas,12-06-2021,12-06-2021,12-07-2021,620546,B4, 36 months,72000,0.1075,491.03,0.1099,15000,13,16816
10-02-2021,484843,Debt consolidation,Not Verified,B,RENT,TX,Fully Paid,5 years,Houston Airport System,13-02-2021,13-03-2021,13-04-2021,617447,B2, 36 months,46000,0.2377,226.7,0.1025,7000,14,8161
10-02-2021,482918,Debt consolidation,Not Verified,B,RENT,NY,Fully Paid,5 years,E1 Entertainment,16-02-2021,13-03-2021,13-04-2021,614411,B5, 36 months,135000,0.2051,822.78,0.1136,25000,22,29621
10-02-2021,481879,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,5 years,"Rowenn Holdings, Inc. (dba gSEMI)",16-05-2021,11-08-2021,11-09-2021,612910,B5, 36 months,125000,0.1274,822.78,0.1136,25000,40,28368
10-02-2021,463417,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,8 years,INTERNATIONAL FREIGHT SERVICES,16-05-2021,13-01-2021,13-02-2021,580205,B2, 36 months,45760,0.1398,442.06,0.1025,13650,23,15560
10-02-2021,483238,Debt consolidation,Not Verified,B,RENT,FL,Fully Paid,< 1 year,Mercer Transport & Bluewater Fitness,13-03-2021,13-03-2021,13-04-2021,614899,B2, 36 months,40000,0.2004,259.08,0.1025,8000,21,9327
10-02-2021,487253,Debt consolidation,Not Verified,B,RENT,NY,Fully Paid,3 years,Buffalo Ambulatory Surgery Center,16-04-2021,13-03-2021,13-04-2021,621092,B3, 36 months,44049.6,0.2239,455.84,0.1062,14000,26,16411
10-02-2021,478835,Debt consolidation,Not Verified,B,RENT,MA,Fully Paid,10+ years,Winchester Savings Bank,16-04-2021,12-04-2021,12-05-2021,608059,B4, 36 months,43000,0.0982,98.21,0.1099,3000,29,3478
10-02-2021,487464,Debt consolidation,Not Verified,B,RENT,CT,Fully Paid,10+ years,Abel-Womack,13-02-2021,13-01-2021,13-02-2021,621418,B5, 36 months,56253,0.0973,329.12,0.1136,10000,6,11840
